Crossover = 64
Trials = 10
Size	Traditional	Strassen
1	0.000001	0.000000
2	0.000001	0.000001
4	0.000001	0.000001
8	0.000004	0.000004
16	0.000022	0.000027
32	0.000139	0.000123
64	0.001013	0.001131
128	0.008879	0.007538
256	0.068477	0.060661
512	0.525150	0.373034
1024	4.097216	2.796612
2048	32.595493	19.494190
4096	326.129883	146.253708
