Crossover = 83
Trials = 10
Size	Traditional	Strassen
83	0.002234	0.002206	1
84	0.002604	0.002554	1
85	0.002677	0.002577	1
86	0.003028	0.002899	1
87	0.003163	0.002924	1
88	0.002717	0.002352	1
89	0.002926	0.002456	1
90	0.002820	0.002618	1
91	0.002565	0.002663	0
92	0.003143	0.002630	1
93	0.003350	0.002945	1
94	0.003591	0.003226	1
95	0.003338	0.003234	1
96	0.002931	0.003170	0
97	0.003247	0.003145	1
98	0.003223	0.003192	1
99	0.003625	0.003469	1
100	0.003420	0.003512	0
101	0.003847	0.003941	0
102	0.004167	0.004078	1
103	0.003879	0.004002	0
104	0.003924	0.004333	0
105	0.004120	0.004339	0
106	0.004248	0.004486	0
107	0.004980	0.004993	0
108	0.004984	0.004170	1
109	0.004740	0.005864	0
110	0.005075	0.004660	1
111	0.005299	0.005384	0
112	0.004693	0.004536	1
113	0.005555	0.005187	1
114	0.005724	0.005333	1
115	0.005877	0.005507	1
116	0.006250	0.005665	1
117	0.005893	0.006015	0
118	0.006254	0.005327	1
119	0.006555	0.006786	0
120	0.006357	0.005959	1
121	0.006443	0.006051	1
122	0.006658	0.006995	0
123	0.006935	0.007281	0
124	0.007066	0.007034	1
125	0.006785	0.006737	1
126	0.006920	0.006874	1
127	0.007222	0.007164	1
128	0.008479	0.008299	1
129	0.007975	0.007248	1
130	0.007668	0.007437	1
131	0.008853	0.008021	1
132	0.009924	0.007954	1
133	0.008214	0.007881	1
134	0.009015	0.008327	1
135	0.009287	0.009250	1
136	0.009068	0.008480	1
137	0.009398	0.008470	1
138	0.010116	0.008686	1
139	0.010368	0.010076	1
140	0.009740	0.009916	0
141	0.011032	0.010267	1
142	0.010474	0.009807	1
143	0.011406	0.010545	1
144	0.011321	0.010060	1
145	0.010759	0.010400	1
146	0.011529	0.010327	1
147	0.010873	0.011158	0
148	0.013126	0.011405	1
149	0.012542	0.011510	1
150	0.012301	0.011418	1
151	0.012505	0.011903	1
152	0.011755	0.012541	0
153	0.013213	0.012467	1
154	0.013500	0.012822	1
155	0.012998	0.015229	0
156	0.014727	0.013635	1
157	0.013647	0.013427	1
158	0.014836	0.014075	1
159	0.014908	0.014700	1
160	0.015970	0.014185	1
161	0.014620	0.014246	1
162	0.015908	0.013828	1
163	0.015112	0.014731	1
164	0.016302	0.014631	1
165	0.016005	0.015229	1
166	0.016344	0.015613	1
167	0.017558	0.014841	1
168	0.016879	0.015820	1
169	0.016968	0.016696	1
170	0.017288	0.017410	0
171	0.017460	0.016451	1
172	0.017056	0.016643	1
173	0.018281	0.017936	1
174	0.018854	0.016837	1
175	0.019476	0.017998	1
176	0.019499	0.017423	1
177	0.019594	0.018832	1
178	0.022112	0.022693	0
179	0.023003	0.021764	1
180	0.025311	0.024642	1
181	0.024588	0.023969	1
182	0.022301	0.021572	1
183	0.022034	0.020633	1
184	0.022851	0.020472	1
185	0.022488	0.023261	0
186	0.022716	0.022129	1
187	0.023609	0.021683	1
188	0.023714	0.022245	1
189	0.023513	0.022846	1
190	0.025185	0.023487	1
191	0.024659	0.022687	1
192	0.024758	0.021933	1
193	0.026073	0.025004	1
194	0.027098	0.024332	1
195	0.026470	0.025261	1
196	0.027394	0.025695	1
197	0.028473	0.027112	1
198	0.029857	0.026011	1
199	0.028782	0.027096	1
200	0.030408	0.026991	1
201	0.031034	0.027218	1
202	0.030543	0.028150	1
203	0.029813	0.029929	0
204	0.029000	0.028047	1
205	0.031127	0.029320	1
206	0.031601	0.030810	1
207	0.031774	0.028703	1
208	0.033355	0.028797	1
209	0.032410	0.031768	1
210	0.033437	0.032059	1
211	0.034327	0.031850	1
212	0.037958	0.032098	1
213	0.037123	0.033239	1
214	0.040819	0.037075	1
215	0.044154	0.036517	1
216	0.040555	0.032059	1
217	0.036360	0.034049	1
218	0.037009	0.035450	1
219	0.037435	0.034138	1
220	0.037220	0.035524	1
221	0.037957	0.038415	0
222	0.040380	0.036375	1
223	0.044862	0.037152	1
224	0.042579	0.036426	1
225	0.043570	0.036937	1
226	0.043721	0.039088	1
227	0.042694	0.039676	1
228	0.043479	0.039908	1
229	0.043481	0.039575	1
230	0.044666	0.041271	1
231	0.045443	0.039711	1
232	0.045037	0.039933	1
233	0.047068	0.043361	1
234	0.047356	0.042959	1
235	0.045326	0.041303	1
236	0.050228	0.044216	1
237	0.048619	0.046699	1
238	0.058254	0.050244	1
239	0.057439	0.048073	1
240	0.050307	0.045683	1
241	0.053935	0.047041	1
242	0.055795	0.045930	1
243	0.053664	0.045439	1
244	0.054296	0.047746	1
245	0.053650	0.049078	1
246	0.054820	0.049305	1
247	0.055983	0.050392	1
248	0.056310	0.047303	1
249	0.055701	0.051125	1
250	0.058672	0.053253	1
251	0.059096	0.047047	1
252	0.056363	0.048502	1
253	0.058052	0.053715	1
254	0.063262	0.052551	1
255	0.060905	0.049578	1
256	0.059177	0.049263	1
257	0.063127	0.055620	1
258	0.070025	0.054274	1
259	0.064833	0.054755	1
260	0.066997	0.056991	1
261	0.070609	0.060367	1
262	0.063929	0.058759	1
263	0.072064	0.056677	1
264	0.072746	0.056745	1
265	0.066672	0.064014	1
266	0.066662	0.065198	1
267	0.073418	0.063623	1
268	0.068924	0.060388	1
269	0.082607	0.069767	1
270	0.085580	0.069821	1
271	0.076552	0.069932	1
272	0.079236	0.073773	1
273	0.089162	0.071567	1
274	0.073858	0.066937	1
275	0.079060	0.064913	1
276	0.077091	0.063513	1
277	0.080140	0.069831	1
278	0.077974	0.074249	1
279	0.081758	0.072967	1
280	0.079452	0.067581	1
281	0.078222	0.072922	1
282	0.082068	0.073071	1
283	0.081357	0.074443	1
284	0.086378	0.073322	1
285	0.084082	0.080134	1
286	0.095669	0.077506	1
287	0.087797	0.072276	1
288	0.090291	0.080203	1
289	0.092568	0.082420	1
290	0.089958	0.078268	1
291	0.094787	0.081779	1
292	0.090472	0.078284	1
293	0.093689	0.080189	1
294	0.091316	0.080489	1
295	0.097013	0.085384	1
296	0.094526	0.083862	1
297	0.095014	0.086939	1
298	0.098420	0.087086	1
299	0.101855	0.087622	1
300	0.101904	0.084095	1
301	0.102097	0.092921	1
302	0.107124	0.089739	1
303	0.102287	0.093097	1
304	0.106814	0.089259	1
305	0.106111	0.093194	1
306	0.106549	0.096462	1
307	0.099915	0.089432	1
308	0.119026	0.097126	1
309	0.122647	0.106565	1
310	0.131467	0.098158	1
311	0.113114	0.097166	1
312	0.109803	0.099639	1
313	0.110859	0.098895	1
314	0.116732	0.097851	1
315	0.119847	0.101895	1
316	0.116758	0.097187	1
317	0.117822	0.103643	1
318	0.117632	0.105820	1
319	0.125194	0.109378	1
320	0.118640	0.094319	1
321	0.122697	0.102553	1
322	0.117961	0.101053	1
323	0.124816	0.116985	1
324	0.136284	0.115154	1
325	0.137057	0.112363	1
326	0.126266	0.116251	1
327	0.135482	0.108982	1
328	0.135734	0.106429	1
329	0.133109	0.117118	1
330	0.137717	0.115710	1
331	0.140490	0.119185	1
332	0.132643	0.115350	1
333	0.134319	0.118737	1
334	0.136798	0.118494	1
335	0.136491	0.118748	1
336	0.141678	0.118669	1
337	0.144514	0.132345	1
338	0.138967	0.126762	1
339	0.149511	0.133053	1
340	0.146588	0.122466	1
341	0.145820	0.122950	1
342	0.143733	0.133736	1
343	0.151904	0.124222	1
344	0.146912	0.127408	1
345	0.154964	0.140490	1
346	0.149093	0.135508	1
347	0.156237	0.137729	1
348	0.162762	0.137528	1
349	0.167661	0.145996	1
350	0.179894	0.133198	1
351	0.163272	0.154536	1
352	0.176741	0.142755	1
353	0.167201	0.139194	1
354	0.168333	0.144885	1
355	0.161306	0.142196	1
356	0.166770	0.142292	1
357	0.170109	0.145548	1
358	0.163825	0.136887	1
359	0.166456	0.138668	1
360	0.170647	0.136677	1
361	0.179485	0.148995	1
362	0.174148	0.146613	1
363	0.174341	0.154905	1
364	0.173262	0.148616	1
365	0.176003	0.147350	1
366	0.180429	0.147926	1
367	0.179079	0.153774	1
368	0.172452	0.157333	1
369	0.186889	0.182911	1
370	0.209670	0.187993	1
371	0.193486	0.162272	1
372	0.185388	0.158501	1
373	0.181207	0.160850	1
374	0.193405	0.154126	1
375	0.194965	0.156068	1
376	0.195270	0.161006	1
377	0.201944	0.170106	1
378	0.205404	0.161790	1
379	0.192368	0.162709	1
380	0.206682	0.169097	1
381	0.204659	0.173039	1
382	0.208457	0.169862	1
383	0.208886	0.167755	1
384	0.214989	0.167909	1
385	0.217757	0.189543	1
386	0.215364	0.171285	1
387	0.221648	0.209666	1
388	0.228438	0.191889	1
389	0.219821	0.179248	1
390	0.217841	0.182432	1
391	0.219968	0.184427	1
392	0.223409	0.184773	1
393	0.220910	0.194448	1
394	0.217286	0.191283	1
395	0.233565	0.187177	1
396	0.231617	0.190923	1
397	0.234570	0.188159	1
398	0.228247	0.192257	1
399	0.233330	0.198625	1
400	0.228552	0.185708	1
401	0.226346	0.206605	1
402	0.238518	0.201649	1
403	0.253472	0.216601	1
404	0.264496	0.204475	1
405	0.243423	0.203129	1
406	0.253568	0.203302	1
407	0.253095	0.198245	1
408	0.256996	0.207564	1
409	0.251559	0.221662	1
410	0.256025	0.215041	1
411	0.258548	0.216840	1
412	0.264364	0.210153	1
413	0.256105	0.211086	1
414	0.262962	0.221918	1
415	0.260211	0.218718	1
416	0.266249	0.216170	1
417	0.274360	0.239118	1
418	0.311430	0.229325	1
419	0.274257	0.223603	1
420	0.272057	0.224493	1
421	0.277637	0.229074	1
422	0.281445	0.227034	1
423	0.268792	0.232307	1
424	0.272040	0.220105	1
425	0.274181	0.246485	1
426	0.280880	0.239574	1
427	0.288302	0.239687	1
428	0.287353	0.237099	1
429	0.298517	0.234057	1
430	0.294350	0.260329	1
431	0.324962	0.241709	1
432	0.306182	0.233753	1
433	0.300397	0.258104	1
434	0.300339	0.261949	1
435	0.292715	0.246664	1
436	0.303672	0.247452	1
437	0.309678	0.254740	1
438	0.307385	0.249603	1
439	0.317610	0.316887	1
440	0.435258	0.357630	1
441	0.363663	0.267177	1
442	0.319118	0.266605	1
443	0.317275	0.268236	1
444	0.321493	0.258187	1
445	0.323061	0.276559	1
446	0.334245	0.265960	1
447	0.330258	0.266112	1
448	0.321660	0.267476	1
449	0.331650	0.273554	1
450	0.339034	0.304124	1
451	0.344785	0.282366	1
452	0.350929	0.281894	1
453	0.339410	0.276063	1
454	0.348518	0.285087	1
455	0.343086	0.286115	1
456	0.343605	0.280260	1
457	0.352581	0.285900	1
458	0.359126	0.282868	1
459	0.358616	0.297412	1
460	0.368460	0.301014	1
461	0.385301	0.307385	1
462	0.370689	0.288592	1
463	0.362444	0.301172	1
464	0.368188	0.296502	1
465	0.370669	0.309693	1
466	0.373583	0.310320	1
467	0.377427	0.314100	1
468	0.381366	0.316183	1
469	0.386486	0.306552	1
470	0.386745	0.334934	1
471	0.452329	0.309836	1
472	0.389886	0.307459	1
473	0.383172	0.325966	1
474	0.390004	0.331961	1
475	0.415393	0.332541	1
476	0.399229	0.333385	1
477	0.394050	0.318224	1
478	0.396003	0.322132	1
479	0.415664	0.333147	1
480	0.443464	0.333786	1
481	0.415628	0.331212	1
482	0.409655	0.341686	1
483	0.401824	0.333145	1
484	0.419440	0.337645	1
