Crossover = 83
Trials = 10
Size	Traditional	Strassen
83	0.002440	0.002674	0
84	0.002167	0.002666	0
85	0.002760	0.002308	1
86	0.002554	0.002408	1
87	0.002817	0.002585	1
88	0.003067	0.002696	1
89	0.003327	0.002925	1
90	0.003013	0.002622	1
91	0.003124	0.002672	1
92	0.002651	0.002765	0
93	0.003387	0.002999	1
94	0.003229	0.002790	1
95	0.003082	0.002997	1
96	0.003458	0.003502	0
97	0.003709	0.003800	0
98	0.003733	0.003193	1
99	0.003724	0.003666	1
100	0.003539	0.003641	0
101	0.003571	0.003753	0
102	0.003759	0.004586	0
103	0.004566	0.004238	1
104	0.004421	0.004192	1
105	0.004384	0.004670	0
106	0.004436	0.004069	1
107	0.004501	0.005230	0
108	0.004941	0.004261	1
109	0.005192	0.004583	1
110	0.004821	0.004627	1
111	0.004833	0.004880	0
112	0.004862	0.005388	0
113	0.005482	0.005766	0
114	0.005521	0.005981	0
115	0.006511	0.005824	1
116	0.006068	0.005560	1
117	0.005652	0.006179	0
118	0.006669	0.006329	1
119	0.006639	0.006131	1
120	0.006480	0.005645	1
121	0.006135	0.006692	0
122	0.006094	0.006695	0
123	0.007008	0.007814	0
124	0.007257	0.006433	1
125	0.006814	0.006654	1
126	0.007766	0.006928	1
127	0.007109	0.007139	0
128	0.007076	0.007244	0
129	0.008060	0.007732	1
130	0.008831	0.007801	1
131	0.008160	0.008443	0
132	0.008059	0.007702	1
133	0.008568	0.008755	0
134	0.009076	0.007837	1
135	0.008553	0.008278	1
136	0.008660	0.009459	0
137	0.009480	0.009684	0
138	0.010109	0.009017	1
139	0.009935	0.009360	1
140	0.011085	0.009953	1
141	0.011329	0.010445	1
142	0.011280	0.010311	1
143	0.011333	0.011232	1
144	0.011766	0.010809	1
145	0.011460	0.010999	1
146	0.012199	0.010912	1
147	0.011969	0.010940	1
148	0.011568	0.010785	1
149	0.012233	0.011041	1
150	0.012682	0.012074	1
151	0.013552	0.012448	1
152	0.012741	0.013663	0
153	0.013658	0.012962	1
154	0.014838	0.011691	1
155	0.013282	0.013008	1
156	0.014606	0.013013	1
157	0.013408	0.012945	1
158	0.014929	0.013635	1
159	0.015491	0.014828	1
160	0.015708	0.015533	1
161	0.015679	0.015866	0
162	0.016196	0.014610	1
163	0.015725	0.015957	0
164	0.015587	0.015207	1
165	0.016541	0.015546	1
166	0.016225	0.015024	1
167	0.017625	0.017614	1
168	0.017166	0.016311	1
169	0.017237	0.016910	1
170	0.018255	0.016817	1
171	0.018162	0.016954	1
172	0.018070	0.016443	1
173	0.018375	0.018613	0
174	0.019755	0.018628	1
175	0.019955	0.018838	1
176	0.020603	0.019285	1
177	0.020414	0.021556	0
178	0.023530	0.021364	1
179	0.020966	0.019011	1
180	0.021676	0.020793	1
181	0.022679	0.021051	1
182	0.022326	0.020506	1
183	0.023302	0.020994	1
184	0.023434	0.021607	1
185	0.023788	0.022635	1
186	0.023095	0.023209	0
187	0.024288	0.021845	1
188	0.023799	0.021996	1
189	0.023712	0.022458	1
190	0.025064	0.022265	1
191	0.026151	0.024096	1
192	0.027480	0.023007	1
193	0.026498	0.024860	1
194	0.028255	0.026030	1
195	0.029809	0.026377	1
196	0.029266	0.025840	1
197	0.029561	0.028331	1
198	0.029501	0.027680	1
199	0.030822	0.025482	1
200	0.027767	0.026785	1
201	0.028818	0.030851	0
202	0.028762	0.028035	1
203	0.028435	0.027247	1
204	0.031353	0.029769	1
205	0.032622	0.030169	1
206	0.031149	0.030034	1
207	0.031956	0.029960	1
208	0.032015	0.028592	1
209	0.032882	0.031591	1
210	0.035735	0.033378	1
211	0.036098	0.030675	1
212	0.035899	0.030949	1
213	0.036340	0.038436	0
214	0.042751	0.036290	1
215	0.041584	0.033703	1
216	0.038098	0.032439	1
217	0.036402	0.033128	1
218	0.036579	0.033094	1
219	0.038287	0.033579	1
220	0.037571	0.033533	1
221	0.039288	0.035830	1
222	0.041982	0.037297	1
223	0.041561	0.038358	1
