Trial & KK & Rep_Rand_No_Part & Hill_Climb_No_Part & Annealing_No_Part & Rep_Rand_Part & Hill_Climb_Part & Annealing_Part \\
\hline
78 & 194672 & 43548348 & 278964422 & 214567644 & 40 & 1644 & 132 \\
79 & 40536 & 109228050 & 769208608 & 360151886 & 140 & 146 & 228 \\
80 & 111638 & 742517282 & 143217882 & 50607234 & 248 & 96 & 510 \\
81 & 252347 & 1535353397 & 114820403 & 143598319 & 73 & 1131 & 161 \\
82 & 62956 & 244569042 & 385768030 & 540295800 & 110 & 226 & 22 \\
83 & 28775 & 167638539 & 243727297 & 189014365 & 407 & 1233 & 65 \\
84 & 65777 & 822988547 & 313475959 & 340192793 & 73 & 693 & 467 \\
85 & 70007 & 198569551 & 782295003 & 196713949 & 129 & 625 & 47 \\
86 & 6380 & 191947296 & 62052100 & 101318522 & 68 & 1046 & 98 \\
87 & 1211417 & 619525837 & 111586553 & 425135293 & 81 & 173 & 25 \\
88 & 414938 & 669596596 & 114706842 & 352933432 & 72 & 666 & 32 \\
89 & 120894 & 74119292 & 64462082 & 433099918 & 590 & 734 & 122 \\
90 & 360721 & 976043565 & 342439969 & 114313463 & 293 & 249 & 275 \\
91 & 2081416 & 730051392 & 1590112880 & 221291796 & 142 & 1482 & 24 \\
92 & 135984 & 20171114 & 29096528 & 93831590 & 136 & 108 & 172 \\
93 & 426707 & 29064241 & 199352237 & 237744279 & 299 & 4109 & 45 \\
94 & 258353 & 39903565 & 703712737 & 266723701 & 9 & 193 & 453 \\
95 & 84161 & 119726953 & 94078305 & 372840597 & 139 & 247 & 553 \\
96 & 31623 & 210221897 & 305291355 & 438741105 & 377 & 879 & 455 \\
97 & 43663 & 60438411 & 21653235 & 155443909 & 51 & 79 & 31 \\
98 & 97817 & 3640365 & 221242307 & 158879865 & 89 & 45 & 197 \\
99 & 56220 & 13463256 & 25538764 & 46348026 & 166 & 438 & 740 \\
100 & 74864 & 273951544 & 248427376 & 49994246 & 64 & 2784 & 256
